date,time,end_date,status,ip_address,progress,duration_in_seconds,finished,recorded_date,response_id,recipient_last_name,recipient_first_name,recipient_email,external_reference,location_latitude,location_longitude,distribution_channel,user_language,consent,self_1,self_2,self_3,self_4,self_5,self_6,self_7,self_8,self_timing_first_click,self_timing_last_click,self_timing_page_submit,self_timing_click_count,stereotype_1,stereotype_2,stereotype_3,stereotype_4,stereotype_5,stereotype_6,stereotype_7,stereotype_8,stereotype_timing_first_click,stereotype_timing_last_click,stereotype_timing_page_submit,stereotype_timing_click_count,sci_fi,vacation,scary_movie,sports,outdoor_art,food,robert_1,robert_2,robert_3,robert_4,robert_5,robert_6,robert_7,robert_8,rob_timing_first_click,rob_timing_last_click,rob_timing_page_submit,rob_timing_click_count,imp_gw,worried_gw,harm_personally,harm_future_gen,why_advocacy,feedback_ccl,age,fam_inc,gender,gender_5_text,race,race_6_text,race_7_text,ideology,dem_rep,dem_rep_4_text,dem_strong_weak,rep_strong_weak,closer_dem_rep,use_data,use_data_no,group,duration_in_minutes
2021-03-16,07:29:31,2021-03-16 07:39:52,IP Address,70.44.200.147,100,621,True,2021-03-16 07:39:53,R_1K9YnW0M34gVGxd,NA,NA,NA,NA,40.3368072509765625,-75.87439727783203125,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",4,5,8,7,6,3,2,1,0,0,100.614,0,6,2,1,5,4,8,7,3,0,0,56.386,0,Yes,Relaxing,No,No,Staying in and watching TV shows,Sweet,5,3,1,2,4,8,7,6,0,0,34.257,0,Extremely important,Very worried,A moderate amount,A great deal,"A friend already active in CCL persuaded me to join; that the proposed policy was market-based and bipartisan, and that a price on carbon would move the needle the fastest toward less CO2.",Yes.  Lots of training opportunities and activity opportunities.,71,"$50,001 - $75,000",Female,NA,White / Caucasian,NA,NA,Very liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Different,10.35
2021-03-16,07:17:49,2021-03-16 07:39:55,IP Address,67.250.135.206,100,1326,True,2021-03-16 07:39:56,R_2QfTFZ1xccsfgl0,NA,NA,NA,NA,41.8778076171875,-74.82700347900390625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",5,8,4,7,6,2,1,3,21.797,219.066,219.946,15,3,2,4,1,5,7,6,8,16.002,101.891,102.534,13,No,Adventurous,No,No,Camping,Savory,4,2,3,1,5,7,6,8,20.08,77.639,89.674,10,Extremely important,Very worried,NA,A great deal,I felt ineffective on my own. Joining an organized group that’s pushing specific legislation gave me more hope of actually accomplishing anything.,"I don’t need welcoming, I don’t need community — that kind of stuff doesn’t grab me. And I certainly don’t need another Zoom meeting. I appreciate the monthly calling campaign reminders — they motivate me to pick up the phone and call my representative. (And I am very grateful that I reach an answering machine rather than a human being.) I do feel ridiculous reading a script, even one of my own writing, to a stranger. And I’m not comfortable advocating for something I don’t fully understand.",63,"$50,001 - $75,000",Female,NA,White / Caucasian,NA,NA,Liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Different,22.1
2021-03-16,07:31:46,2021-03-16 07:45:44,IP Address,207.246.9.229,100,838,True,2021-03-16 07:45:44,R_9tMWTntC0VJ1RF7,NA,NA,NA,NA,35.2303009033203125,-111.5791015625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",5,8,7,6,3,1,4,2,2.58,91.056,91.755,31,2,1,3,5,6,4,7,8,1.369,22.051,22.834,8,Yes,Adventurous,Yes,No,Camping,Sweet,6,7,3,8,2,1,5,4,9.093,95.849,97.868,15,Very important,Very worried,A moderate amount,A great deal,CCL provided the most effective route to getting climate policy implemented and I feel has the best approach to mitigating the climate crisis.,It is a very welcoming space for volunteers. I think things are tough now because of zoom but once we can meet in person again I think a lot of our problems will be solved.,25,"$35,001 - $50,000",Male,NA,White / Caucasian,NA,NA,Liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Similar,13.966666666666667
2021-03-16,07:34:05,2021-03-16 07:51:12,IP Address,184.166.62.104,100,1026,True,2021-03-16 07:51:13,R_2rAV070kDZrF36q,NA,NA,NA,NA,37.2845001220703125,-107.86460113525390625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",2,7,4,6,8,3,5,1,25.216,147.235,148.162,6,1,3,4,2,8,6,7,5,56.622,91.381,101.543,3,No,Adventurous,No,Yes,Camping,Savory,2,1,3,5,7,4,6,8,21.336,61.636,65.567,5,Very important,Very worried,A moderate amount,A great deal,CF&D is a brilliant innovative model for environmental policy. It is a game changer if we don't compromise it to mediocrity.,Yes,64,"$75,001 - $100,000",Male,NA,White / Caucasian,NA,NA,Conservative,Other (please specify),libertarian,NA,NA,Closer to Republican Party,"Yes, you can use my data.",NA,Different,17.1
2021-03-16,07:01:34,2021-03-16 07:56:04,IP Address,73.120.86.231,100,3270,True,2021-03-16 07:56:05,R_2QyNxDnQmJYT22p,NA,NA,NA,NA,36.049896240234375,-83.92279815673828125,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",4,5,6,7,3,1,8,2,0,0,2406.58,0,1,2,3,5,4,6,7,8,0,0,62.077,0,Yes,Adventurous,No,No,Camping,Savory,2,4,3,1,8,7,6,5,0,0,230.322,0,Extremely important,Very worried,A great deal,A great deal,"Concern about the environment, my personal well being, and the well being of future generations.",Sure,61,"$50,001 - $75,000",Male,NA,White / Caucasian,NA,NA,Moderate,Independent,NA,NA,NA,Neither,"Yes, you can use my data.",NA,Similar,54.5
2021-03-16,07:49:40,2021-03-16 08:10:03,IP Address,67.234.36.116,100,1222,True,2021-03-16 08:10:03,R_1jxF6LBzll7a2RK,NA,NA,NA,NA,36.39959716796875,-82.452301025390625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",6,8,4,3,5,7,2,1,0,0,111.122,0,7,3,1,2,6,5,8,4,0,0,88.548,0,No,Adventurous,No,No,NA,Savory,4,3,1,2,6,7,8,5,0,0,59.508,0,Extremely important,Very worried,A moderate amount,A great deal,"Attending, following invitation by an academician friend, the 2014 CCL National Conference.  The quality and informativeness of presentations at this conference,
the enthusiasm and infectious engagement in the issues by attendees from all over the country.
","Yes and No.
No only because, as I am getting (very) old, my ability to handle and get information from the CCL website (and via the computer, generally) has declined significantly; cannot attend zoom-conducted ""meetings"" since the pandemic outbreak and therefore
feel ""left out"";  continue to appreciate very much the work of CCL and continue to write columns and LtEs on the climate and other environmental issues in several local newspapers
",NA,"$25,001 - $35,000",Female,NA,White / Caucasian,NA,NA,Liberal,Other (please specify),Green Party,NA,NA,Closer to Democratic Party,"Yes, you can use my data.",NA,Similar,20.366666666666667
2021-03-16,08:03:07,2021-03-16 08:10:55,IP Address,73.86.90.205,100,467,True,2021-03-16 08:10:55,R_2RR4SSRg3W2bEhs,NA,NA,NA,NA,39.3885955810546875,-77.16829681396484375,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",8,6,7,5,4,1,2,3,6.34,45.148,51.715,15,4,2,3,1,7,6,8,5,5.246,27.191,28.634,8,No,Adventurous,Yes,No,Camping,Savory,4,1,5,6,7,2,8,3,24.228,45.578,47.032,5,Extremely important,Very worried,A great deal,A great deal,"My college chapter got me involved in CCL- it already had some of my friends in it which encouraged me to join and keep attending meetings. I used to be a tutor for environmental economics where I learned how important carbon taxes will be for reducing emissions, so I thought the EICDA was a great policy option for us. I also loved the grassroots and democratic engagement approach instead of the fundraising/litigation approach common to environmental groups.","I do believe it to be welcoming for me, but I have heard a little different from my friends of color. Sometimes the older members can make comments that they don’t realize are micro aggressive and it turns people off.",20,"$75,001 - $100,000",Female,NA,White / Caucasian,NA,NA,Very liberal,Other (please specify),Democratic socialist,NA,NA,Closer to Democratic Party,"Yes, you can use my data.",NA,Different,7.783333333333333
2021-03-16,08:05:30,2021-03-16 08:15:56,IP Address,24.121.150.179,100,625,True,2021-03-16 08:15:56,R_1I4Yj6Moj6aJvGh,NA,NA,NA,NA,35.2303009033203125,-111.5791015625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",8,7,6,4,5,3,2,1,0,0,125.178,0,4,3,2,5,1,6,7,8,0,0,44.618,0,No,Adventurous,No,No,Camping,Savory,5,3,7,6,4,1,8,2,0,0,98.048,0,Extremely important,Very worried,A great deal,A great deal,In an effort to be part of the solution.,Yes,72,"$35,001 - $50,000",Prefer not to answer,NA,White / Caucasian,NA,NA,Prefer not to answer,Other (please specify),other,NA,NA,Neither,"Yes, you can use my data.",NA,Similar,10.416666666666666
2021-03-16,07:58:18,2021-03-16 08:20:45,IP Address,67.165.244.203,100,1347,True,2021-03-16 08:20:46,R_3HLkmpiFex8Rl9X,NA,NA,NA,NA,39.484405517578125,-106.01920318603515625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",6,4,5,7,3,2,1,8,73.486,125.672,126.946,2,5,3,1,2,6,4,7,8,28.168,72.996,93.315,6,Yes,Relaxing,No,No,Staying in and watching TV shows,Sweet,2,1,4,3,6,5,7,8,26.544,70.845,79.627,8,Extremely important,Very worried,Only a little,A great deal,It was a combination of factors: Trump’s election and his appointment of Scott Pruitt to the EPA and I had more time on my hands after my kids went to college. I wanted to devote my time to doing something to help and that could make a difference.  CCL’s culture of respect and bipartisanship appealed to me.  the EICDA made sense to me in that it could cause a huge change in the trajectory of the climate crisis with a relatively straightforward bill that would enable change at a swift pace.  It also makes polluters pay and become responsible for the damage that they want to continue to inflict on society.  It also protects the lower class so they do not bear the brunt of the change.,"We need more active volunteers to do what is possible.  I’m not sure how to engage our large roster of volunteers. We are a small group and this is frustrating to me as a leader of a chapter.  I know that our small group feels overwhelmed and I am concerned we are going to lose some good people to burnout.  I too am feeling this way especially as our MOC seems to be following the divide and falling into a more divisive rhetoric in order to remain in office.  It is a welcoming space for me, but I know due to our small size that we are unable to reach out to more diverse people that we should be trying to reach.",60,"Over $150,000",Female,NA,White / Caucasian,NA,NA,Moderate,Independent,NA,NA,NA,Closer to Democratic Party,"Yes, you can use my data.",NA,Similar,22.45
2021-03-16,08:15:13,2021-03-16 08:29:10,IP Address,212.102.44.138,100,836,True,2021-03-16 08:29:10,R_2fpN2lw882yBqea,NA,NA,NA,NA,39.738800048828125,-104.9868011474609375,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",4,7,8,6,2,5,1,3,0,0,113.346,0,2,3,1,5,4,8,6,7,0,0,59.922,0,No,Adventurous,No,Yes,Camping,Sweet,3,2,1,4,6,5,7,8,0,0,45.763,0,Extremely important,Very worried,A moderate amount,A great deal,"I believe climate damage is the most important issue for our planet and without legislation the planet will become unliveable. Climate damage can be tied to so many other issues including poverty, food shortages, and the movement of refugees.",We have a very connected and active group in SLC. We are able to support each other both personally and in our CCL efforts.,67,"Over $150,000",Female,NA,White / Caucasian,NA,NA,Liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Different,13.933333333333334
2021-03-16,08:25:31,2021-03-16 08:34:48,IP Address,138.207.172.224,100,556,True,2021-03-16 08:34:48,R_VJbFgCfywDB0FTb,NA,NA,NA,NA,38.936798095703125,-76.34709930419921875,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",3,8,7,5,6,4,1,2,0,0,92.514,0,4,3,2,5,7,6,8,1,0,0,61.616,0,No,Adventurous,No,No,Camping,Sweet,5,2,1,3,8,4,6,7,0,0,37.798,0,Extremely important,Very worried,A great deal,A great deal,Global warming is the biggest factor. Bigger and bigger storms. Concern for what life will be like for my grandsons. And concern for all animals!,"Can't remember doing any volunteering. I do, however, pick up trash every day when I walk here in town and once a week when I go to Cape Henlopen State Park to walk.",73,"$50,001 - $75,000",Female,NA,White / Caucasian,NA,NA,Liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Different,9.266666666666667
2021-03-16,08:20:01,2021-03-16 08:35:23,IP Address,75.76.165.205,100,921,True,2021-03-16 08:35:23,R_7QUac0Qt9XiSyNX,NA,NA,NA,NA,44.1414947509765625,-103.2052001953125,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",8,5,7,6,4,3,1,2,81.066,164.977,166.148,2,4,1,2,3,5,6,7,8,63.391,63.391,64.529,1,Yes,Adventurous,No,Yes,Camping,Savory,3,1,4,2,5,7,6,8,114.907,114.907,115.9,1,Very important,Very worried,A moderate amount,A great deal,"I'm more of a 350.org person - I would rather see fossil fuels be left in the ground.  But to be pragmatic, getting a carbon fee & dividend passed is more likely in the immediate future, so I want to be involved with at least making a step forward now rather than nothing happening.","Yes, very much so.  Enjoy be around like-minded people.",68,"$75,001 - $100,000",Male,NA,White / Caucasian,NA,NA,Liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Different,15.35
2021-03-16,08:21:30,2021-03-16 08:38:28,IP Address,98.110.126.165,100,1017,True,2021-03-16 08:38:28,R_3k85IM0HBSdZ8R2,NA,NA,NA,NA,40.39019775390625,-74.77100372314453125,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",6,4,3,7,5,2,1,8,0,0,199.84,0,4,1,3,2,5,7,6,8,0,0,102.186,0,No,Adventurous,No,No,NA,Savory,5,1,3,2,4,7,6,8,0,0,70.962,0,Extremely important,Very worried,Not at all,A great deal,I would like to help keep the world livable for future generations.,"I haven't actually done anything for CCL yet.  My own senators and representative in Congress do not need to be persuaded - they are already on the good side of the issue.  I have some abilities that might be useful, but in-person persuasion is not something I like to do, and I'm not especially good at it.",79,NA,Male,NA,White / Caucasian,NA,NA,Liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Similar,16.95
2021-03-16,08:50:04,2021-03-16 08:56:54,IP Address,47.147.138.140,100,410,True,2021-03-16 08:56:55,R_svf9QKG74i0B19D,NA,NA,NA,NA,33.7902984619140625,-118.12149810791015625,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",8,7,5,6,3,4,2,1,11.148,104.362,117.297,20,2,1,4,3,6,7,5,8,11.443,49.64,50.273,9,No,Relaxing,Yes,No,Camping,Sweet,2,1,4,3,7,5,6,8,8.527,38.596,40.506,6,Extremely important,Very worried,A great deal,A great deal,NA,NA,33,"$50,001 - $75,000",Female,NA,White / Caucasian,NA,NA,Very liberal,Democrat,NA,Strong Democrat,NA,NA,"Yes, you can use my data.",NA,Different,6.833333333333333
2021-03-16,08:47:49,2021-03-16 08:59:36,IP Address,74.211.7.58,100,707,True,2021-03-16 08:59:37,R_2zcoKdXMWgtg7KH,NA,NA,NA,NA,37.1038055419921875,-113.5764007568359375,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",3,5,7,6,8,4,1,2,0,0,79.851,0,4,3,2,1,7,8,6,5,0,0,62.748,0,No,Adventurous,No,Yes,Camping,Sweet,2,3,1,4,7,8,6,5,0,0,61.167,0,Extremely important,Very worried,Not at all,A great deal,Curiosity about the scientific basis is what got me involved.  A CCL state leader noticed an op-ed I wrote and asked me to form a local chapter.,"It's hard to find concrete projects to push solutions.  Living in a very conservative county in a very conservative state, interacting with my elected representatives is difficult.  Yes, it's very welcoming of volunteers.",70.5,"$75,001 - $100,000",Male,NA,White / Caucasian,NA,NA,Moderate,Independent,NA,NA,NA,Closer to Democratic Party,"Yes, you can use my data.",NA,Different,11.783333333333333
2021-03-16,08:35:47,2021-03-16 09:00:22,IP Address,199.125.68.146,100,1474,True,2021-03-16 09:00:22,R_20U6tpq5txsrTKm,NA,NA,NA,NA,42.456695556640625,-71.37470245361328125,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",7,8,3,6,2,4,5,1,0,0,392.069,0,4,2,1,3,5,6,7,8,0,0,183.296,0,Yes,Relaxing,Yes,No,Staying in and watching TV shows,Savory,5,2,1,3,4,8,7,6,0,0,191.764,0,Extremely important,Very worried,A moderate amount,A great deal,"I want a healthy world for my son.  I want a future for my grandchildren.  I want breathable air, clean water, a viable planet.",It is inclusive.  I'm new.  I've only written letters and visited legislators.,72,"$100,001 - $150,000",Male,NA,White / Caucasian,NA,NA,Liberal,Independent,NA,NA,NA,Neither,"Yes, you can use my data.",NA,Similar,24.566666666666666
2021-03-16,08:42:12,2021-03-16 09:05:44,IP Address,72.225.15.77,100,1411,True,2021-03-16 09:05:45,R_3iwYOwolkehVzSE,NA,NA,NA,NA,43.0908050537109375,-77.4347991943359375,anonymous,EN,"Yes, I am over the age of 18 and agree to participate in this study.",8,6,5,4,7,3,2,1,8.309,148.882,149.901,32,4,3,6,5,7,2,1,8,11.761,74.696,75.386,7,No,Adventurous,No,No,Camping,Savory,7,3,4,8,5,1,2,6,4.933,73.276,74.086,8,Extremely important,Very worried,A moderate amount,A great deal,"I appreciate biodiversity and have concern about the impact of severe climate change on ecosystems and species. I have great concern about the impact of climate change on people living in coastal areas, or subsisting in marginally inhabitable places, or susceptible to diseases that might spread in a warmed future. I have concern about the impact of more extreme weather events.","It is. My Rochester, NY chapter is very welcoming and empowering!",52,"$75,001 - $100,000",Male,NA,White / Caucasian,NA,NA,Liberal,Independent,NA,NA,NA,Closer to Democratic Party,"Yes, you can use my data.",NA,Similar,23.516666666666666
